ip address,dnsname,mac,user agent,email address
0.22.178.73,gov,7A-1C-6E-1F-B1-F6,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.3 (KHTML, like Gecko) Chrome/19.0.1061.1 Safari/536.3",wpride5c@xing.com
0.51.202.153,org,6B-C2-B5-CB-A2-D1,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_4; en-us) AppleWebKit/528.4+ (KHTML, like Gecko) Version/4.0dp1 Safari/526.11.2",lrainford3x@sphinn.com
1.130.190.88,net,13-BF-28-8E-99-17,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_3) AppleWebKit/534.55.3 (KHTML, like Gecko) Version/5.1.3 Safari/534.53.10",rrosenhausi@gravatar.com
1.28.199.53,org,3E-91-FB-97-C2-EE,"Mozilla/5.0 (Android 2.2; Windows; U; Windows NT 6.1; en-US) AppleWebKit/533.19.4 (KHTML, like Gecko) Version/5.0.3 Safari/533.19.4",bspikingsfy@unesco.org
1.73.145.59,org,B8-A7-53-A2-7D-66,Mozilla/5.0 (Windows NT 6.1; rv:12.0) Gecko/ 20120405 Firefox/14.0.1,bmcmurtyf9@google.com.br
1.98.108.31,gov,17-35-48-B0-DB-AC,"Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/533.18.1 (KHTML, like Gecko) Version/5.0 Safari/533.16",cpettitim@zdnet.com
10.137.28.58,com,7F-D2-BF-A4-51-6A,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.3 Safari/534.24",leldrett9i@java.com
10.146.211.244,net,0E-5E-29-E4-8F-E2,Mozilla/5.0 (Windows NT 6.0; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0,aballchin8v@lycos.com
10.184.154.200,net,F6-B7-49-75-AC-8D,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.697.0 Safari/534.24",mmessager8o@upenn.edu
10.205.161.210,org,02-88-F4-19-24-C6,"Chrome/15.0.860.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/15.0.860.0",eleylandh5@cnbc.com
10.223.26.241,info,FD-DF-99-49-0E-F0,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.20 Safari/535.1",elidelllv@qq.com
10.226.103.217,biz,76-79-76-A5-CC-25,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.17 Safari/537.11",vmacpeakeav@uol.com.br
10.231.112.193,org,D5-A0-E8-FF-E8-17,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.66 Safari/535.11",pjoncicbz@hatena.ne.jp
10.243.191.19,mil,49-8C-F0-7A-25-31,"Mozilla/5.0 (Windows NT 5.2) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.792.0 Safari/535.1",wbaumadiern4@over-blog.com
10.68.77.58,info,90-7C-75-11-3C-B8,"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.724.100 Safari/534.30",nwoodwinhc@deliciousdays.com
10.71.15.149,biz,30-D8-B7-B5-DC-48,"Mozilla/5.0 Slackware/13.37 (X11; U; Linux x86_64; en-US) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.41",dprettejohnsb4@msu.edu
100.118.123.68,biz,97-31-A2-A2-0F-66,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_5_8; zh-cn) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27",thuxtable8q@ca.gov
100.237.244.158,mil,F7-AF-AF-46-2B-0A,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.43 Safari/534.24",jholhousejy@cdc.gov
100.248.229.5,gov,CA-E4-FE-D2-27-0B,Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:27.0) Gecko/20121011 Firefox/27.0,jnuttingcu@discovery.com
101.112.81.93,biz,E4-6D-A7-9E-66-EE,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:9.0a2) Gecko/20111101 Firefox/9.0a2,vgarfieldhu@nydailynews.com
101.126.81.253,edu,0C-FC-5A-CB-63-58,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.36 Safari/536.5",jtomasino5n@ted.com
101.80.50.19,mil,2E-98-72-8C-D0-49,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.24 Safari/535.1",ssantacrolea5@imdb.com
101.83.213.112,net,F7-83-F8-BA-FF-EE,Mozilla/5.0 (Windows NT 6.0; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0,agoffek5@wikispaces.com
102.133.176.1,info,7A-ED-CC-A0-F5-86,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.13 (KHTML, like Gecko) Chrome/24.0.1290.1 Safari/537.13",troubay7s@squarespace.com
102.72.247.54,net,6F-2F-69-61-3D-79,"Mozilla/5.0 (X11; CrOS i686 13.587.48) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.43 Safari/535.1",jmallabydt@home.pl
102.79.90.91,org,22-65-7A-01-F5-1E,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.6 Safari/537.11",rknappepj@google.com.br
103.101.239.201,com,00-13-3B-D7-BA-3F,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.67 Safari/537.36",epetraccoo6@va.gov
103.182.104.172,edu,16-23-10-92-43-3E,"Mozilla/5.0 (X11; U; Linux x86_64; en-us) AppleWebKit/531.2+ (KHTML, like Gecko) Version/5.0 Safari/531.2+",bbenedictb@timesonline.co.uk
104.124.160.164,net,15-14-83-7C-17-01,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_3; el-gr) AppleWebKit/533.16 (KHTML, like Gecko) Version/5.0 Safari/533.16",nthornhilllf@gravatar.com
104.133.31.183,gov,6F-6E-3B-28-0E-C4,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10; rv:33.0) Gecko/20100101 Firefox/33.0,shadleyc7@godaddy.com
